/real_pose/header/stamp/sec,/real_pose/header/stamp/nanosec,/real_pose/pose/position/x,/real_pose/pose/position/y,/real_pose/pose/position/z,/real_pose/pose/orientation/x,/real_pose/pose/orientation/y,/real_pose/pose/orientation/z,/real_pose/pose/orientation/w,/real_pose/header/frame_id,
1.73244e+09,1.34545e+08,1.80852,1.66721,-2.9947e-06,0.00031615,-0.00119332,0.256568,0.966525,world,
1.73244e+09,2.34294e+08,1.81156,1.66904,-3.55014e-06,0.000308256,-0.00119535,0.253235,0.967404,world,
1.73244e+09,3.3468e+08,1.81487,1.67102,1.90308e-06,0.000303725,-0.0011835,0.249603,0.968347,world,
1.73244e+09,4.34446e+08,1.82073,1.67443,-2.77916e-06,0.000290138,-0.00117084,0.243241,0.969965,world,
1.73244e+09,5.3393e+08,1.82201,1.67516,-3.08383e-06,0.000292537,-0.00117043,0.241851,0.970313,world,
1.73244e+09,6.34763e+08,1.82692,1.67791,-2.66866e-06,0.000283135,-0.00117124,0.236549,0.971619,world,
1.73244e+09,7.33498e+08,1.83195,1.68067,1.92217e-06,0.000275597,-0.00116567,0.231141,0.97292,world,
1.73244e+09,8.34274e+08,1.83324,1.68137,1.84165e-06,0.000281648,-0.00119877,0.229744,0.97325,world,
1.73244e+09,9.34533e+08,1.83942,1.68463,-3.14337e-06,0.000266951,-0.00116571,0.223158,0.974782,world,
1.73244e+09,3.45063e+07,1.84277,1.68635,-3.29786e-06,0.00026819,-0.00120188,0.219596,0.97559,world,
1.73244e+09,1.33993e+08,1.84584,1.6879,1.84435e-06,0.000269165,-0.00122078,0.216328,0.97632,world,
1.73244e+09,2.33589e+08,1.85127,1.69059,1.92955e-06,0.000260595,-0.0012158,0.210586,0.977575,world,
1.73244e+09,3.34528e+08,1.85212,1.691,-3.43417e-06,0.000262437,-0.00124384,0.209692,0.977767,world,
1.73244e+09,4.35036e+08,1.85854,1.69405,-3.09471e-06,0.000255992,-0.00125199,0.202925,0.979193,world,
1.73244e+09,5.34088e+08,1.86204,1.69567,1.89127e-06,0.000245117,-0.00121201,0.199278,0.979942,world,
1.73244e+09,6.34502e+08,1.8647,1.69688,1.89025e-06,0.000242863,-0.00121854,0.196493,0.980504,world,
1.73244e+09,7.34237e+08,1.87109,1.69972,-3.84035e-06,0.000231688,-0.00123825,0.189842,0.981814,world,
1.73244e+09,8.34135e+08,1.8732,1.70063,-2.4122e-06,0.000246202,-0.00125301,0.187649,0.982235,world,
1.73244e+09,9.34496e+08,1.87743,1.70243,-2.28701e-06,0.00024012,-0.00123584,0.183281,0.98306,world,
1.73244e+09,3.37309e+07,1.88371,1.70501,1.82185e-06,0.000210877,-0.00118131,0.176777,0.98425,world,
1.73244e+09,1.34494e+08,1.8843,1.70525,1.81453e-06,0.00021947,-0.00123364,0.176171,0.984359,world,
1.73244e+09,2.34e+08,1.89032,1.70763,1.39009e-06,0.000216677,-0.00126615,0.169991,0.985445,world,
1.73244e+09,3.33658e+08,1.8945,1.70923,-2.84142e-06,0.000198914,-0.00118185,0.165728,0.986171,world,
1.73244e+09,4.34444e+08,1.89675,1.71007,1.91101e-06,0.000199657,-0.00121343,0.163438,0.986553,world,
1.73244e+09,5.34139e+08,1.90342,1.7125,1.95427e-06,0.000185173,-0.00117564,0.156642,0.987655,world,
1.73244e+09,6.34434e+08,1.9052,1.71314,1.57806e-06,0.000194167,-0.00124915,0.154838,0.987939,world,
1.73244e+09,7.33663e+08,1.90993,1.71478,1.91562e-06,0.000178754,-0.00118634,0.150042,0.988679,world,
1.73244e+09,8.33639e+08,1.91538,1.71661,-3.4818e-06,0.000176667,-0.00124556,0.144538,0.989498,world,
1.73244e+09,9.3463e+08,1.91676,1.71706,-2.42521e-06,0.000179959,-0.00121855,0.143148,0.989701,world,
1.73244e+09,3.45195e+07,1.92353,1.71922,-2.78597e-06,0.000166618,-0.00119709,0.136336,0.990662,world,
1.73244e+09,1.33476e+08,1.92662,1.72017,1.96819e-06,0.000160834,-0.0012059,0.133231,0.991084,world,
1.73244e+09,2.34275e+08,1.93023,1.72125,1.87541e-06,0.000157321,-0.00121337,0.129613,0.991564,world,
1.73244e+09,3.33816e+08,1.93715,1.72325,-3.11617e-06,0.000150551,-0.00122361,0.122703,0.992443,world,
1.73244e+09,4.34448e+08,1.93785,1.72345,1.97809e-06,0.00014457,-0.0011868,0.121997,0.99253,world,
1.73244e+09,5.34518e+08,1.9438,1.72507,-2.60198e-06,0.000144512,-0.00123227,0.116069,0.99324,world,
1.73244e+09,6.33431e+08,1.94804,1.72619,-2.90763e-06,0.000129986,-0.00117714,0.111833,0.993726,world,
1.73244e+09,7.3436e+08,1.95057,1.72683,1.92118e-06,0.000133797,-0.00122865,0.109325,0.994005,world,
1.73244e+09,8.33876e+08,1.95737,1.7285,-2.6268e-06,0.000120966,-0.00119352,0.102581,0.994724,world,
1.73244e+09,9.34586e+08,1.95961,1.72903,-3.63371e-06,0.000123706,-0.00124835,0.100363,0.99495,world,
1.73244e+09,3.50752e+07,1.96491,1.73023,-2.81068e-06,0.000119113,-0.00124624,0.0951179,0.995465,world,
1.73244e+09,1.3363e+08,1.97052,1.73144,1.98591e-06,0.000109769,-0.00123415,0.0895921,0.995978,world,
1.73244e+09,2.34787e+08,1.97175,1.7317,1.78062e-06,0.000108546,-0.00123905,0.0883969,0.996085,world,
1.73244e+09,3.34718e+08,1.97861,1.73307,-2.37605e-06,9.95106e-05,-0.00121478,0.0816531,0.99666,world,
1.73244e+09,4.33696e+08,1.98282,1.73388,1.87113e-06,9.72726e-05,-0.00126756,0.077501,0.996991,world,
1.73244e+09,5.33869e+08,1.98549,1.73436,1.45162e-06,9.44939e-05,-0.00127987,0.0748792,0.997192,world,
1.73244e+09,6.33904e+08,1.9928,1.73562,-2.03697e-06,8.56043e-05,-0.00124698,0.0677357,0.997703,world,
1.73244e+09,7.33835e+08,1.9928,1.73562,-2.03697e-06,8.56043e-05,-0.00124698,0.0677357,0.997703,world,
1.73244e+09,8.3445e+08,1.99961,1.7367,-2.91715e-06,6.95946e-05,-0.00118705,0.0610771,0.998132,world,
1.73244e+09,9.33746e+08,2.00209,1.73706,-3.58035e-06,6.68056e-05,-0.00123643,0.0586651,0.998277,world,
1.73244e+09,3.47739e+07,2.00654,1.7377,1.52549e-06,6.72484e-05,-0.00126529,0.0543098,0.998523,world,
1.73244e+09,1.33912e+08,2.01296,1.73854,1.92146e-06,5.84109e-05,-0.00124158,0.048071,0.998843,world,
1.73244e+09,2.3446e+08,2.01369,1.73862,-2.13361e-06,5.75736e-05,-0.00122871,0.0473634,0.998877,world,
1.73244e+09,3.34085e+08,2.02054,1.73942,-3.15635e-06,4.71712e-05,-0.00122087,0.0406829,0.999171,world,
1.73244e+09,4.34117e+08,2.02397,1.73979,1.90692e-06,4.34317e-05,-0.0011961,0.0373349,0.999302,world,
1.73244e+09,5.33948e+08,2.0273,1.74012,1.94804e-06,4.11351e-05,-0.0012421,0.0341044,0.999418,world,
1.73244e+09,6.33469e+08,2.03469,1.74077,-2.3817e-06,3.56047e-05,-0.00122517,0.0269526,0.999636,world,
1.73244e+09,7.33741e+08,2.03563,1.74085,1.91631e-06,3.1468e-05,-0.00125636,0.0260294,0.99966,world,
1.73244e+09,8.3448e+08,2.04219,1.74133,-3.37494e-06,2.55001e-05,-0.00124883,0.019687,0.999805,world,
1.73244e+09,9.34311e+08,2.04667,1.74161,2.13689e-06,1.7245e-05,-0.00120308,0.0153477,0.999881,world,
1.73244e+09,3.45471e+07,2.04918,1.74176,1.47024e-06,1.49505e-05,-0.00128469,0.0128933,0.999916,world,
1.73244e+09,1.33557e+08,2.0567,1.7421,1.94125e-06,5.81502e-06,-0.00125568,0.00563505,0.999983,world,
1.73244e+09,2.34151e+08,2.05805,1.74215,-3.15708e-06,7.27891e-06,-0.00121546,0.00433822,0.99999,world,
1.73244e+09,3.34143e+08,2.06359,1.74232,1.90465e-06,-2.48225e-06,-0.00119353,-0.0010361,0.999999,world,
1.73244e+09,4.34025e+08,2.06934,1.74243,-3.08243e-06,-9.85327e-06,-0.00120963,-0.00657231,0.999978,world,
